,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
750,0.282,0.307,0,-7.378,1,0.0284,0.81,0,0.122,0.0858,80.843,audio_features,2WpjUzhwqQ2u6XpoxMCSVA,spotify:track:2WpjUzhwqQ2u6XpoxMCSVA,https://api.spotify.com/v1/tracks/2WpjUzhwqQ2u6XpoxMCSVA,https://api.spotify.com/v1/audio-analysis/2WpjUzhwqQ2u6XpoxMCSVA,197933,4
751,0.262,0.26,0,-16.921,1,0.0309,0.154,7.93E-06,0.478,0.198,105.902,audio_features,03aY6WbKaiZ6HFGNE74sR9,spotify:track:03aY6WbKaiZ6HFGNE74sR9,https://api.spotify.com/v1/tracks/03aY6WbKaiZ6HFGNE74sR9,https://api.spotify.com/v1/audio-analysis/03aY6WbKaiZ6HFGNE74sR9,221000,4
752,0.671,0.294,5,-15.836,0,0.0569,0.304,0,0.265,0.932,145.011,audio_features,6ZBvOTXe4rFtyirwga4OaO,spotify:track:6ZBvOTXe4rFtyirwga4OaO,https://api.spotify.com/v1/tracks/6ZBvOTXe4rFtyirwga4OaO,https://api.spotify.com/v1/audio-analysis/6ZBvOTXe4rFtyirwga4OaO,134800,4
753,0.473,0.331,2,-16.375,1,0.0331,0.0515,2.55E-05,0.0889,0.569,127.403,audio_features,56NIXHSIfGMEMfYESyY337,spotify:track:56NIXHSIfGMEMfYESyY337,https://api.spotify.com/v1/tracks/56NIXHSIfGMEMfYESyY337,https://api.spotify.com/v1/audio-analysis/56NIXHSIfGMEMfYESyY337,152667,3
754,0.636,0.357,5,-13.457,0,0.0767,0.304,2.38E-06,0.295,0.929,146.807,audio_features,7HJh6wiHjRbwVyHflOPsvB,spotify:track:7HJh6wiHjRbwVyHflOPsvB,https://api.spotify.com/v1/tracks/7HJh6wiHjRbwVyHflOPsvB,https://api.spotify.com/v1/audio-analysis/7HJh6wiHjRbwVyHflOPsvB,133467,4
755,0.679,0.589,4,-15.377,1,0.0674,0.0603,0.000285,0.106,0.843,110.083,audio_features,7dV6uc0lxZwqV4fiuXG0rR,spotify:track:7dV6uc0lxZwqV4fiuXG0rR,https://api.spotify.com/v1/tracks/7dV6uc0lxZwqV4fiuXG0rR,https://api.spotify.com/v1/audio-analysis/7dV6uc0lxZwqV4fiuXG0rR,178000,4
756,0.505,0.253,7,-14.718,1,0.0282,0.715,0.000247,0.114,0.362,100.797,audio_features,5G2TipAviWeyy4rlog2vny,spotify:track:5G2TipAviWeyy4rlog2vny,https://api.spotify.com/v1/tracks/5G2TipAviWeyy4rlog2vny,https://api.spotify.com/v1/audio-analysis/5G2TipAviWeyy4rlog2vny,229667,4
757,0.617,0.459,2,-13.975,0,0.0367,0.319,6.07E-06,0.221,0.526,128.178,audio_features,7woD5z7t3SykX4p87gCYMw,spotify:track:7woD5z7t3SykX4p87gCYMw,https://api.spotify.com/v1/tracks/7woD5z7t3SykX4p87gCYMw,https://api.spotify.com/v1/audio-analysis/7woD5z7t3SykX4p87gCYMw,169333,4
758,0.264,0.217,0,-18.426,1,0.0304,0.626,0.637,0.122,0.265,106.038,audio_features,1igupb05e1XYu3N2Chs5zK,spotify:track:1igupb05e1XYu3N2Chs5zK,https://api.spotify.com/v1/tracks/1igupb05e1XYu3N2Chs5zK,https://api.spotify.com/v1/audio-analysis/1igupb05e1XYu3N2Chs5zK,221933,4
759,0.598,0.318,0,-14.396,1,0.0408,0.364,0.00268,0.149,0.524,99.526,audio_features,4l5q5WXel72KiizLtjnQmL,spotify:track:4l5q5WXel72KiizLtjnQmL,https://api.spotify.com/v1/tracks/4l5q5WXel72KiizLtjnQmL,https://api.spotify.com/v1/audio-analysis/4l5q5WXel72KiizLtjnQmL,169533,4
760,0.461,0.337,4,-17.656,1,0.0293,0.167,7.36E-05,0.132,0.637,129.992,audio_features,39IDGLfc6O7ogk9WJVLwwd,spotify:track:39IDGLfc6O7ogk9WJVLwwd,https://api.spotify.com/v1/tracks/39IDGLfc6O7ogk9WJVLwwd,https://api.spotify.com/v1/audio-analysis/39IDGLfc6O7ogk9WJVLwwd,158000,4
761,0.525,0.369,9,-15.749,0,0.0356,0.162,0.000206,0.0549,0.321,135.63,audio_features,22UYL8f6vL4d9WwKgfIpFw,spotify:track:22UYL8f6vL4d9WwKgfIpFw,https://api.spotify.com/v1/tracks/22UYL8f6vL4d9WwKgfIpFw,https://api.spotify.com/v1/audio-analysis/22UYL8f6vL4d9WwKgfIpFw,287000,4
762,0.571,0.884,0,-12.663,1,0.0441,0.00811,0.0185,0.244,0.89,143.021,audio_features,5DdoVERFA9j9sAxuOjIvC8,spotify:track:5DdoVERFA9j9sAxuOjIvC8,https://api.spotify.com/v1/tracks/5DdoVERFA9j9sAxuOjIvC8,https://api.spotify.com/v1/audio-analysis/5DdoVERFA9j9sAxuOjIvC8,223827,4
763,0.534,0.897,9,-6.341,0,0.0346,0.224,2.25E-06,0.352,0.549,140.933,audio_features,2DYuRUD7jYCxQXnv8Kmciz,spotify:track:2DYuRUD7jYCxQXnv8Kmciz,https://api.spotify.com/v1/tracks/2DYuRUD7jYCxQXnv8Kmciz,https://api.spotify.com/v1/audio-analysis/2DYuRUD7jYCxQXnv8Kmciz,258573,4
764,0.507,0.722,9,-10.382,0,0.0445,0.0377,2.53E-06,0.158,0.505,139.858,audio_features,2gAfUhhKwPAYJlIbQxTKf6,spotify:track:2gAfUhhKwPAYJlIbQxTKf6,https://api.spotify.com/v1/tracks/2gAfUhhKwPAYJlIbQxTKf6,https://api.spotify.com/v1/audio-analysis/2gAfUhhKwPAYJlIbQxTKf6,263067,4
765,0.41,0.693,4,-10.69,1,0.0969,0.213,1.27E-05,0.14,0.674,141.092,audio_features,30UiR7nbq1kTkARnn3rz5f,spotify:track:30UiR7nbq1kTkARnn3rz5f,https://api.spotify.com/v1/tracks/30UiR7nbq1kTkARnn3rz5f,https://api.spotify.com/v1/audio-analysis/30UiR7nbq1kTkARnn3rz5f,324053,4
